memory_system,model_label,scale,s,s_label,budget_B,n,pass_at_b
MemOS-text,Qwen 8B,s_0,0,$s_0$,1,500,0.512
MemOS-text,Qwen 8B,s_0,0,$s_0$,2,500,0.516
MemOS-text,Qwen 8B,s_0,0,$s_0$,3,500,0.52
MemOS-text,Qwen 8B,s_0,0,$s_0$,4,500,0.52
MemOS-text,Qwen 8B,s_0,0,$s_0$,5,500,0.52
MemOS-text,Qwen 8B,s_0,0,$s_0$,6,500,0.526
MemOS-text,Qwen 8B,s_4,400,$s_4$,1,500,0.024
MemOS-text,Qwen 8B,s_4,400,$s_4$,2,500,0.024
MemOS-text,Qwen 8B,s_4,400,$s_4$,3,500,0.024
MemOS-text,Qwen 8B,s_4,400,$s_4$,4,500,0.024
MemOS-text,Qwen 8B,s_4,400,$s_4$,5,500,0.024
MemOS-text,Qwen 8B,s_4,400,$s_4$,6,500,0.024
MemOS-text,Qwen 32B,s_0,0,$s_0$,1,500,0.404
MemOS-text,Qwen 32B,s_0,0,$s_0$,2,500,0.416
MemOS-text,Qwen 32B,s_0,0,$s_0$,3,500,0.424
MemOS-text,Qwen 32B,s_0,0,$s_0$,4,500,0.426
MemOS-text,Qwen 32B,s_0,0,$s_0$,5,500,0.428
MemOS-text,Qwen 32B,s_0,0,$s_0$,6,500,0.62
MemOS-text,Qwen 32B,s_4,400,$s_4$,1,500,0.022
MemOS-text,Qwen 32B,s_4,400,$s_4$,2,500,0.028
MemOS-text,Qwen 32B,s_4,400,$s_4$,3,500,0.032
MemOS-text,Qwen 32B,s_4,400,$s_4$,4,500,0.044
MemOS-text,Qwen 32B,s_4,400,$s_4$,5,500,0.046
MemOS-text,Qwen 32B,s_4,400,$s_4$,6,500,0.06
MemOS-text,Qwen 235B,s_0,0,$s_0$,1,500,0.36
MemOS-text,Qwen 235B,s_0,0,$s_0$,2,500,0.39
MemOS-text,Qwen 235B,s_0,0,$s_0$,3,500,0.442
MemOS-text,Qwen 235B,s_0,0,$s_0$,4,500,0.464
MemOS-text,Qwen 235B,s_0,0,$s_0$,5,500,0.472
MemOS-text,Qwen 235B,s_0,0,$s_0$,6,500,0.736
MemOS-text,Qwen 235B,s_4,400,$s_4$,1,500,0.116
MemOS-text,Qwen 235B,s_4,400,$s_4$,2,500,0.142
MemOS-text,Qwen 235B,s_4,400,$s_4$,3,500,0.15
MemOS-text,Qwen 235B,s_4,400,$s_4$,4,500,0.16
MemOS-text,Qwen 235B,s_4,400,$s_4$,5,500,0.164
MemOS-text,Qwen 235B,s_4,400,$s_4$,6,500,0.46
Mem0,Qwen 8B,s_0,0,$s_0$,1,500,0.424
Mem0,Qwen 8B,s_0,0,$s_0$,2,500,0.436
Mem0,Qwen 8B,s_0,0,$s_0$,3,500,0.44
Mem0,Qwen 8B,s_0,0,$s_0$,4,500,0.44
Mem0,Qwen 8B,s_0,0,$s_0$,5,500,0.44
Mem0,Qwen 8B,s_0,0,$s_0$,6,500,0.446
Mem0,Qwen 8B,s_4,400,$s_4$,1,500,0.128
Mem0,Qwen 8B,s_4,400,$s_4$,2,500,0.13
Mem0,Qwen 8B,s_4,400,$s_4$,3,500,0.13
Mem0,Qwen 8B,s_4,400,$s_4$,4,500,0.13
Mem0,Qwen 8B,s_4,400,$s_4$,5,500,0.13
Mem0,Qwen 8B,s_4,400,$s_4$,6,500,0.13
Mem0,Qwen 32B,s_0,0,$s_0$,1,500,0.368
Mem0,Qwen 32B,s_0,0,$s_0$,2,500,0.376
Mem0,Qwen 32B,s_0,0,$s_0$,3,500,0.382
Mem0,Qwen 32B,s_0,0,$s_0$,4,500,0.382
Mem0,Qwen 32B,s_0,0,$s_0$,5,500,0.386
Mem0,Qwen 32B,s_0,0,$s_0$,6,500,0.58
Mem0,Qwen 32B,s_4,400,$s_4$,1,500,0.056
Mem0,Qwen 32B,s_4,400,$s_4$,2,500,0.07
Mem0,Qwen 32B,s_4,400,$s_4$,3,500,0.074
Mem0,Qwen 32B,s_4,400,$s_4$,4,500,0.078
Mem0,Qwen 32B,s_4,400,$s_4$,5,500,0.078
Mem0,Qwen 32B,s_4,400,$s_4$,6,500,0.196
Mem0,Qwen 235B,s_0,0,$s_0$,1,500,0.198
Mem0,Qwen 235B,s_0,0,$s_0$,2,500,0.232
Mem0,Qwen 235B,s_0,0,$s_0$,3,500,0.27
Mem0,Qwen 235B,s_0,0,$s_0$,4,500,0.288
Mem0,Qwen 235B,s_0,0,$s_0$,5,500,0.294
Mem0,Qwen 235B,s_0,0,$s_0$,6,500,0.52
Mem0,Qwen 235B,s_4,400,$s_4$,1,500,0.142
Mem0,Qwen 235B,s_4,400,$s_4$,2,500,0.168
Mem0,Qwen 235B,s_4,400,$s_4$,3,500,0.18
Mem0,Qwen 235B,s_4,400,$s_4$,4,500,0.19
Mem0,Qwen 235B,s_4,400,$s_4$,5,500,0.2
Mem0,Qwen 235B,s_4,400,$s_4$,6,500,0.418
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,1,500,0.386
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,2,500,0.41
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,3,500,0.412
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,4,500,0.412
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,5,500,0.414
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,6,500,0.47
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,1,500,0.012
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,2,500,0.016
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,3,500,0.016
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,4,500,0.016
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,5,500,0.018
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,6,500,0.018
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,1,500,0.416
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,2,500,0.42
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,3,500,0.424
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,4,500,0.424
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,5,500,0.424
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,6,500,0.436
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,1,500,0.022
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,2,500,0.024
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,3,500,0.024
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,4,500,0.024
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,5,500,0.024
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,6,500,0.024
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,1,500,0.656
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,2,500,0.684
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,3,500,0.704
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,4,500,0.71
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,5,500,0.71
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,6,500,0.752
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,1,500,0.218
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,2,500,0.266
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,3,500,0.286
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,4,500,0.306
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,5,500,0.308
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,6,500,0.378
