memory_system,model_label,scale,s,s_label,n,pass_at_b2,raw_success_rate,p_budget_exhausted,p_wrong_within_budget,retrieval_calls_mean,retrieval_calls_p90,api_calls_mean,total_tokens_sum
MemOS-text,Qwen 8B,s_0,0,$s_0$,500,0.516,0.526,0.026,0.458,1.122,1.0,1.122,3597614
MemOS-text,Qwen 8B,s_4,400,$s_4$,500,0.024,0.024,0.004,0.972,1.022,1.0,1.022,18736530
MemOS-text,Qwen 32B,s_0,0,$s_0$,500,0.416,0.62,0.412,0.172,3.016,6.0,3.016,10892880
MemOS-text,Qwen 32B,s_4,400,$s_4$,500,0.028,0.06,0.69,0.282,4.022,6.0,4.022,128923242
MemOS-text,Qwen 235B,s_0,0,$s_0$,500,0.39,0.736,0.518,0.092,3.364,6.0,3.364,12308391
MemOS-text,Qwen 235B,s_4,400,$s_4$,500,0.142,0.46,0.796,0.062,4.934,6.0,4.934,157958377
Mem0,Qwen 8B,s_0,0,$s_0$,500,0.436,0.446,0.042,0.522,1.208,1.0,1.208,2653244
Mem0,Qwen 8B,s_4,400,$s_4$,500,0.13,0.13,0.014,0.856,1.08,1.0,1.08,13840555
Mem0,Qwen 32B,s_0,0,$s_0$,500,0.376,0.58,0.46,0.164,3.28,6.0,3.28,11086675
Mem0,Qwen 32B,s_4,400,$s_4$,500,0.07,0.196,0.836,0.094,5.126,6.0,5.126,80324991
Mem0,Qwen 235B,s_0,0,$s_0$,500,0.232,0.52,0.46,0.308,3.178,6.0,3.178,10777595
Mem0,Qwen 235B,s_4,400,$s_4$,500,0.168,0.418,0.792,0.04,4.888,6.0,4.888,84769611
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,500,0.41,0.47,0.23,0.36,2.156,6.0,2.156,7161106
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,500,0.016,0.018,0.302,0.682,2.348,6.0,2.348,57435092
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,500,0.42,0.436,0.034,0.546,1.156,1.0,1.156,3544487
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,500,0.024,0.024,0.044,0.932,1.216,2.0,1.216,17132595
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,500,0.684,0.752,0.126,0.19,1.544,3.0,1.544,4982620
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,500,0.266,0.378,0.574,0.16,3.752,6.0,3.752,88772671
