family,memory_system,model_label,s,s_label,n,pass_at_b2,pass_at_b2_ci_low,pass_at_b2_ci_high
Flat,MemOS-text,Qwen 8B,0,$s_0$,500,0.516,0.472,0.56
Flat,MemOS-text,Qwen 8B,100,$s_1$,500,0.024,0.012,0.038
Flat,MemOS-text,Qwen 8B,200,$s_2$,500,0.056,0.036,0.076
Flat,MemOS-text,Qwen 8B,300,$s_3$,500,0.026,0.014,0.04
Flat,MemOS-text,Qwen 8B,400,$s_4$,500,0.024,0.012,0.038
Flat,MemOS-text,Qwen 32B,0,$s_0$,500,0.416,0.374,0.46
Flat,MemOS-text,Qwen 32B,100,$s_1$,500,0.036,0.02,0.054
Flat,MemOS-text,Qwen 32B,200,$s_2$,500,0.084,0.06,0.108
Flat,MemOS-text,Qwen 32B,300,$s_3$,500,0.054,0.036,0.074
Flat,MemOS-text,Qwen 32B,400,$s_4$,500,0.028,0.014,0.044
Flat,MemOS-text,Qwen 235B,0,$s_0$,500,0.39,0.348,0.4320499999999997
Flat,MemOS-text,Qwen 235B,100,$s_1$,500,0.18,0.14795,0.214
Flat,MemOS-text,Qwen 235B,200,$s_2$,500,0.154,0.122,0.186
Flat,MemOS-text,Qwen 235B,300,$s_3$,500,0.158,0.126,0.192
Flat,MemOS-text,Qwen 235B,400,$s_4$,500,0.142,0.114,0.174
Tree,MemOS-Tree,Qwen 8B,0,$s_0$,500,0.41,0.36595,0.454
Tree,MemOS-Tree,Qwen 8B,100,$s_1$,500,0.004,0.0,0.01
Tree,MemOS-Tree,Qwen 8B,200,$s_2$,500,0.008,0.002,0.016
Tree,MemOS-Tree,Qwen 8B,300,$s_3$,500,0.016,0.006,0.028
Tree,MemOS-Tree,Qwen 8B,400,$s_4$,500,0.016,0.006,0.028
Tree,MemOS-Tree,Qwen 32B,0,$s_0$,500,0.42,0.376,0.464
Tree,MemOS-Tree,Qwen 32B,100,$s_1$,500,0.02,0.008,0.034
Tree,MemOS-Tree,Qwen 32B,200,$s_2$,500,0.03,0.016,0.046
Tree,MemOS-Tree,Qwen 32B,300,$s_3$,500,0.034,0.02,0.052
Tree,MemOS-Tree,Qwen 32B,400,$s_4$,500,0.024,0.012,0.038
Tree,MemOS-Tree,Qwen 235B,0,$s_0$,500,0.684,0.644,0.724
Tree,MemOS-Tree,Qwen 235B,100,$s_1$,500,0.332,0.292,0.372
Tree,MemOS-Tree,Qwen 235B,200,$s_2$,500,0.266,0.228,0.304
Tree,MemOS-Tree,Qwen 235B,300,$s_3$,500,0.28,0.242,0.322
Tree,MemOS-Tree,Qwen 235B,400,$s_4$,500,0.266,0.228,0.306
Hierarchical,LiCoMemory,Qwen 235B,0,$s_0$,2000,0.814,0.797,0.8295
Hierarchical,LiCoMemory,Qwen 235B,100,$s_{1}$,2000,0.8235,0.8065,0.84
Hierarchical,LiCoMemory,Qwen 235B,200,$s_{2}$,2000,0.7985,0.7805,0.8145
Hierarchical,LiCoMemory,Qwen 235B,300,$s_{3}$,2000,0.8095,0.792,0.8260124999999999
Hierarchical,LiCoMemory,Qwen 235B,400,$s_{4}$,2000,0.8015,0.7844875,0.819
Hierarchical,LiCoMemory,Qwen 32B,0,$s_0$,2000,0.786,0.7679875,0.8045125
Hierarchical,LiCoMemory,Qwen 32B,100,$s_{1}$,2000,0.786,0.7695,0.8045
Hierarchical,LiCoMemory,Qwen 32B,200,$s_{2}$,2000,0.782,0.7635,0.8000125
Hierarchical,LiCoMemory,Qwen 32B,300,$s_{3}$,2000,0.771,0.752,0.7895
Hierarchical,LiCoMemory,Qwen 32B,400,$s_{4}$,2000,0.7855,0.766,0.8035
Hierarchical,LiCoMemory,Qwen 8B,0,$s_0$,2000,0.535,0.5135,0.5570125
Hierarchical,LiCoMemory,Qwen 8B,100,$s_{1}$,2000,0.5325,0.512,0.5540125
Hierarchical,LiCoMemory,Qwen 8B,200,$s_{2}$,2000,0.5205,0.4985,0.543
Hierarchical,LiCoMemory,Qwen 8B,300,$s_{3}$,2000,0.53,0.5079875,0.551
Hierarchical,LiCoMemory,Qwen 8B,400,$s_{4}$,2000,0.522,0.5009875,0.545
