memory_system,model_label,question_type,n,pass_at_b2,raw_success_rate,retrieval_calls_mean,retrieval_calls_p90
MemOS-text,Qwen 8B,SSA,0,,,,
MemOS-text,Qwen 8B,SSP,0,,,,
MemOS-text,Qwen 8B,SSU,0,,,,
MemOS-text,Qwen 8B,MS,0,,,,
MemOS-text,Qwen 8B,TR,0,,,,
MemOS-text,Qwen 8B,KU,0,,,,
MemOS-text,Qwen 32B,SSA,0,,,,
MemOS-text,Qwen 32B,SSP,0,,,,
MemOS-text,Qwen 32B,SSU,0,,,,
MemOS-text,Qwen 32B,MS,0,,,,
MemOS-text,Qwen 32B,TR,0,,,,
MemOS-text,Qwen 32B,KU,0,,,,
MemOS-text,Qwen 235B,SSA,0,,,,
MemOS-text,Qwen 235B,SSP,0,,,,
MemOS-text,Qwen 235B,SSU,0,,,,
MemOS-text,Qwen 235B,MS,0,,,,
MemOS-text,Qwen 235B,TR,0,,,,
MemOS-text,Qwen 235B,KU,0,,,,
Mem0,Qwen 8B,SSA,0,,,,
Mem0,Qwen 8B,SSP,0,,,,
Mem0,Qwen 8B,SSU,0,,,,
Mem0,Qwen 8B,MS,0,,,,
Mem0,Qwen 8B,TR,0,,,,
Mem0,Qwen 8B,KU,0,,,,
Mem0,Qwen 32B,SSA,0,,,,
Mem0,Qwen 32B,SSP,0,,,,
Mem0,Qwen 32B,SSU,0,,,,
Mem0,Qwen 32B,MS,0,,,,
Mem0,Qwen 32B,TR,0,,,,
Mem0,Qwen 32B,KU,0,,,,
Mem0,Qwen 235B,SSA,0,,,,
Mem0,Qwen 235B,SSP,0,,,,
Mem0,Qwen 235B,SSU,0,,,,
Mem0,Qwen 235B,MS,0,,,,
Mem0,Qwen 235B,TR,0,,,,
Mem0,Qwen 235B,KU,0,,,,
MemOS-Tree,Qwen 8B,SSA,0,,,,
MemOS-Tree,Qwen 8B,SSP,0,,,,
MemOS-Tree,Qwen 8B,SSU,0,,,,
MemOS-Tree,Qwen 8B,MS,0,,,,
MemOS-Tree,Qwen 8B,TR,0,,,,
MemOS-Tree,Qwen 8B,KU,0,,,,
MemOS-Tree,Qwen 32B,SSA,0,,,,
MemOS-Tree,Qwen 32B,SSP,0,,,,
MemOS-Tree,Qwen 32B,SSU,0,,,,
MemOS-Tree,Qwen 32B,MS,0,,,,
MemOS-Tree,Qwen 32B,TR,0,,,,
MemOS-Tree,Qwen 32B,KU,0,,,,
MemOS-Tree,Qwen 235B,SSA,0,,,,
MemOS-Tree,Qwen 235B,SSP,0,,,,
MemOS-Tree,Qwen 235B,SSU,0,,,,
MemOS-Tree,Qwen 235B,MS,0,,,,
MemOS-Tree,Qwen 235B,TR,0,,,,
MemOS-Tree,Qwen 235B,KU,0,,,,
