memory_system,model_label,bucket,rows,fraction
MemOS-text,Qwen 8B,R=0,0,0.0
MemOS-text,Qwen 8B,R=1,2417,0.9668
MemOS-text,Qwen 8B,R=2,52,0.0208
MemOS-text,Qwen 8B,R>2,31,0.0124
MemOS-text,Qwen 32B,R=0,0,0.0
MemOS-text,Qwen 32B,R=1,708,0.2832
MemOS-text,Qwen 32B,R=2,228,0.0912
MemOS-text,Qwen 32B,R>2,1564,0.6256
MemOS-text,Qwen 235B,R=0,0,0.0
MemOS-text,Qwen 235B,R=1,577,0.2308
MemOS-text,Qwen 235B,R=2,98,0.0392
MemOS-text,Qwen 235B,R>2,1825,0.73
Mem0,Qwen 8B,R=0,0,0.0
Mem0,Qwen 8B,R=1,2352,0.9408
Mem0,Qwen 8B,R=2,92,0.0368
Mem0,Qwen 8B,R>2,56,0.0224
Mem0,Qwen 32B,R=0,0,0.0
Mem0,Qwen 32B,R=1,480,0.192
Mem0,Qwen 32B,R=2,91,0.0364
Mem0,Qwen 32B,R>2,1929,0.7716
Mem0,Qwen 235B,R=0,0,0.0
Mem0,Qwen 235B,R=1,652,0.2608
Mem0,Qwen 235B,R=2,95,0.038
Mem0,Qwen 235B,R>2,1753,0.7012
MemOS-Tree,Qwen 8B,R=0,0,0.0
MemOS-Tree,Qwen 8B,R=1,1491,0.5964
MemOS-Tree,Qwen 8B,R=2,226,0.0904
MemOS-Tree,Qwen 8B,R>2,783,0.3132
MemOS-Tree,Qwen 32B,R=0,0,0.0
MemOS-Tree,Qwen 32B,R=1,2228,0.8912
MemOS-Tree,Qwen 32B,R=2,191,0.0764
MemOS-Tree,Qwen 32B,R>2,81,0.0324
MemOS-Tree,Qwen 235B,R=0,0,0.0
MemOS-Tree,Qwen 235B,R=1,1137,0.4548
MemOS-Tree,Qwen 235B,R=2,190,0.076
MemOS-Tree,Qwen 235B,R>2,1173,0.4692
