memory_system,model_label,scale,s,s_label,n,pass_at_b2,pass_at_b2_ci_low,pass_at_b2_ci_high,raw_success_rate,p_budget_exhausted,p_wrong_within_budget,retrieval_calls_mean,retrieval_calls_p90,api_calls_mean,total_tokens_sum,prompt_tokens_sum,completion_tokens_sum
MemOS-text,Qwen 8B,s_0,0,$s_0$,500,0.516,0.472,0.56,0.526,0.026,0.458,1.122,1.0,1.122,3597614,3566772,30842
MemOS-text,Qwen 8B,s_1,100,$s_1$,500,0.024,0.012,0.038,0.024,0.004,0.972,1.044,1.0,1.044,18926611,18879466,47145
MemOS-text,Qwen 8B,s_2,200,$s_2$,500,0.056,0.036,0.076,0.058,0.02,0.924,1.096,1.0,1.096,18553525,18507857,45668
MemOS-text,Qwen 8B,s_3,300,$s_3$,500,0.026,0.014,0.04,0.026,0.008,0.966,1.042,1.0,1.042,19407524,19358939,48585
MemOS-text,Qwen 8B,s_4,400,$s_4$,500,0.024,0.012,0.038,0.024,0.004,0.972,1.022,1.0,1.022,18736530,18686466,50064
MemOS-text,Qwen 32B,s_0,0,$s_0$,500,0.416,0.374,0.46,0.62,0.412,0.172,3.016,6.0,3.016,10892880,10840729,52151
MemOS-text,Qwen 32B,s_1,100,$s_1$,500,0.036,0.02,0.054,0.104,0.688,0.276,4.166,6.0,4.166,119232468,119133990,98478
MemOS-text,Qwen 32B,s_2,200,$s_2$,500,0.084,0.06,0.108,0.128,0.674,0.242,4.094,6.0,4.094,117845339,117750980,94359
MemOS-text,Qwen 32B,s_3,300,$s_3$,500,0.054,0.036,0.074,0.092,0.664,0.282,3.968,6.0,3.968,117829372,117730778,98594
MemOS-text,Qwen 32B,s_4,400,$s_4$,500,0.028,0.014,0.044,0.06,0.69,0.282,4.022,6.0,4.022,128923242,128822463,100779
MemOS-text,Qwen 235B,s_0,0,$s_0$,500,0.39,0.348,0.4320499999999997,0.736,0.518,0.092,3.364,6.0,3.364,12308391,12257239,51152
MemOS-text,Qwen 235B,s_1,100,$s_1$,500,0.18,0.14795,0.214,0.55,0.772,0.048,4.792,6.0,4.792,133019659,132957297,62362
MemOS-text,Qwen 235B,s_2,200,$s_2$,500,0.154,0.122,0.186,0.482,0.792,0.054,4.898,6.0,4.898,145336727,145272053,64674
MemOS-text,Qwen 235B,s_3,300,$s_3$,500,0.158,0.126,0.192,0.468,0.772,0.07,4.752,6.0,4.752,139020256,138957857,62399
MemOS-text,Qwen 235B,s_4,400,$s_4$,500,0.142,0.114,0.174,0.46,0.796,0.062,4.934,6.0,4.934,157958377,157892628,65749
Mem0,Qwen 8B,s_0,0,$s_0$,500,0.436,0.392,0.48,0.446,0.042,0.522,1.208,1.0,1.208,2653244,2631796,21448
Mem0,Qwen 8B,s_1,100,$s_1$,500,0.11,0.084,0.13804999999999973,0.11,0.022,0.868,1.148,1.0,1.148,17405560,17356104,49456
Mem0,Qwen 8B,s_2,200,$s_2$,500,0.126,0.096,0.156,0.128,0.012,0.862,1.102,1.0,1.102,16025531,15976115,49416
Mem0,Qwen 8B,s_3,300,$s_3$,500,0.104,0.078,0.132,0.106,0.022,0.874,1.136,1.0,1.136,16534428,16485992,48436
Mem0,Qwen 8B,s_4,400,$s_4$,500,0.13,0.102,0.16,0.13,0.014,0.856,1.08,1.0,1.08,13840555,13795865,44690
Mem0,Qwen 32B,s_0,0,$s_0$,500,0.376,0.334,0.418,0.58,0.46,0.164,3.28,6.0,3.28,11086675,11029547,57128
Mem0,Qwen 32B,s_1,100,$s_1$,500,0.056,0.036,0.078,0.22,0.848,0.096,5.212,6.0,5.212,93046910,92936240,110670
Mem0,Qwen 32B,s_2,200,$s_2$,500,0.048,0.03,0.068,0.226,0.864,0.088,5.28,6.0,5.28,93344123,93232663,111460
Mem0,Qwen 32B,s_3,300,$s_3$,500,0.04,0.024,0.058,0.18,0.85,0.11,5.212,6.0,5.212,91504668,91393994,110674
Mem0,Qwen 32B,s_4,400,$s_4$,500,0.07,0.05,0.094,0.196,0.836,0.094,5.126,6.0,5.126,80324991,80221603,103388
Mem0,Qwen 235B,s_0,0,$s_0$,500,0.232,0.194,0.27,0.52,0.46,0.308,3.178,6.0,3.178,10777595,10732330,45265
Mem0,Qwen 235B,s_1,100,$s_1$,500,0.234,0.19795000000000001,0.27,0.582,0.73,0.036,4.55,6.0,4.55,87085560,87022887,62673
Mem0,Qwen 235B,s_2,200,$s_2$,500,0.21,0.17795,0.246,0.532,0.764,0.026,4.75,6.0,4.75,89963279,89897724,65555
Mem0,Qwen 235B,s_3,300,$s_3$,500,0.206,0.17195,0.242,0.478,0.76,0.034,4.73,6.0,4.73,88932704,88868200,64504
Mem0,Qwen 235B,s_4,400,$s_4$,500,0.168,0.138,0.202,0.418,0.792,0.04,4.888,6.0,4.888,84769611,84703343,66268
MemOS-Tree,Qwen 8B,s_0,0,$s_0$,500,0.41,0.36595,0.454,0.47,0.23,0.36,2.156,6.0,2.156,7161106,7113626,47480
MemOS-Tree,Qwen 8B,s_1,100,$s_1$,500,0.004,0.0,0.01,0.004,0.372,0.624,2.67,6.0,2.67,71813504,71682794,130710
MemOS-Tree,Qwen 8B,s_2,200,$s_2$,500,0.008,0.002,0.016,0.008,0.368,0.624,2.636,6.0,2.636,69510038,69374855,135183
MemOS-Tree,Qwen 8B,s_3,300,$s_3$,500,0.016,0.006,0.028,0.02,0.294,0.69,2.27,6.0,2.27,56842863,56717459,125404
MemOS-Tree,Qwen 8B,s_4,400,$s_4$,500,0.016,0.006,0.028,0.018,0.302,0.682,2.348,6.0,2.348,57435092,57311175,123917
MemOS-Tree,Qwen 32B,s_0,0,$s_0$,500,0.42,0.376,0.464,0.436,0.034,0.546,1.156,1.0,1.156,3544487,3479633,64854
MemOS-Tree,Qwen 32B,s_1,100,$s_1$,500,0.02,0.008,0.034,0.022,0.028,0.952,1.16,2.0,1.16,17300154,17186070,114084
MemOS-Tree,Qwen 32B,s_2,200,$s_2$,500,0.03,0.016,0.046,0.03,0.024,0.946,1.156,2.0,1.156,17322452,17209965,112487
MemOS-Tree,Qwen 32B,s_3,300,$s_3$,500,0.034,0.02,0.052,0.034,0.032,0.934,1.176,2.0,1.176,17331250,17219314,111936
MemOS-Tree,Qwen 32B,s_4,400,$s_4$,500,0.024,0.012,0.038,0.024,0.044,0.932,1.216,2.0,1.216,17132595,17027047,105548
MemOS-Tree,Qwen 235B,s_0,0,$s_0$,500,0.684,0.644,0.724,0.752,0.126,0.19,1.544,3.0,1.544,4982620,4949409,33211
MemOS-Tree,Qwen 235B,s_1,100,$s_1$,500,0.332,0.292,0.372,0.462,0.5,0.168,3.418,6.0,3.418,77278850,77225301,53549
MemOS-Tree,Qwen 235B,s_2,200,$s_2$,500,0.266,0.228,0.304,0.416,0.566,0.168,3.736,6.0,3.736,91385528,91329362,56166
MemOS-Tree,Qwen 235B,s_3,300,$s_3$,500,0.28,0.242,0.322,0.39,0.58,0.14,3.804,6.0,3.804,85911445,85854904,56541
MemOS-Tree,Qwen 235B,s_4,400,$s_4$,500,0.266,0.228,0.306,0.378,0.574,0.16,3.752,6.0,3.752,88772671,88716636,56035
