memory_system,model_label,scale,s,n,api_calls_sum,api_calls_mean,prompt_tokens_sum,completion_tokens_sum,total_tokens_sum,prompt_tokens_mean,completion_tokens_mean,total_tokens_mean
Mem0,Qwen 235B,s_0,0,500,1589,3.178,10732330,45265,10777595,21464.66,90.53,21555.19
Mem0,Qwen 235B,s_1,100,500,2275,4.55,87022887,62673,87085560,174045.774,125.346,174171.12
Mem0,Qwen 235B,s_2,200,500,2375,4.75,89897724,65555,89963279,179795.448,131.11,179926.558
Mem0,Qwen 235B,s_3,300,500,2365,4.73,88868200,64504,88932704,177736.4,129.008,177865.408
Mem0,Qwen 235B,s_4,400,500,2444,4.888,84703343,66268,84769611,169406.686,132.536,169539.222
Mem0,Qwen 32B,s_0,0,500,1640,3.28,11029547,57128,11086675,22059.094,114.256,22173.35
Mem0,Qwen 32B,s_1,100,500,2606,5.212,92936240,110670,93046910,185872.48,221.34,186093.82
Mem0,Qwen 32B,s_2,200,500,2640,5.28,93232663,111460,93344123,186465.326,222.92,186688.246
Mem0,Qwen 32B,s_3,300,500,2606,5.212,91393994,110674,91504668,182787.988,221.348,183009.336
Mem0,Qwen 32B,s_4,400,500,2563,5.126,80221603,103388,80324991,160443.206,206.776,160649.982
Mem0,Qwen 8B,s_0,0,500,604,1.208,2631796,21448,2653244,5263.592,42.896,5306.488
Mem0,Qwen 8B,s_1,100,500,574,1.148,17356104,49456,17405560,34712.208,98.912,34811.12
Mem0,Qwen 8B,s_2,200,500,551,1.102,15976115,49416,16025531,31952.23,98.832,32051.062
Mem0,Qwen 8B,s_3,300,500,568,1.136,16485992,48436,16534428,32971.984,96.872,33068.856
Mem0,Qwen 8B,s_4,400,500,540,1.08,13795865,44690,13840555,27591.73,89.38,27681.11
MemOS-Tree,Qwen 235B,s_0,0,500,772,1.544,4949409,33211,4982620,9898.818,66.422,9965.24
MemOS-Tree,Qwen 235B,s_1,100,500,1709,3.418,77225301,53549,77278850,154450.602,107.098,154557.7
MemOS-Tree,Qwen 235B,s_2,200,500,1868,3.736,91329362,56166,91385528,182658.724,112.332,182771.056
MemOS-Tree,Qwen 235B,s_3,300,500,1902,3.804,85854904,56541,85911445,171709.808,113.082,171822.89
MemOS-Tree,Qwen 235B,s_4,400,500,1876,3.752,88716636,56035,88772671,177433.272,112.07,177545.342
MemOS-Tree,Qwen 32B,s_0,0,500,578,1.156,3479633,64854,3544487,6959.266,129.708,7088.974
MemOS-Tree,Qwen 32B,s_1,100,500,580,1.16,17186070,114084,17300154,34372.14,228.168,34600.308
MemOS-Tree,Qwen 32B,s_2,200,500,578,1.156,17209965,112487,17322452,34419.93,224.974,34644.904
MemOS-Tree,Qwen 32B,s_3,300,500,588,1.176,17219314,111936,17331250,34438.628,223.872,34662.5
MemOS-Tree,Qwen 32B,s_4,400,500,608,1.216,17027047,105548,17132595,34054.094,211.096,34265.19
MemOS-Tree,Qwen 8B,s_0,0,500,1078,2.156,7113626,47480,7161106,14227.252,94.96,14322.212
MemOS-Tree,Qwen 8B,s_1,100,500,1335,2.67,71682794,130710,71813504,143365.588,261.42,143627.008
MemOS-Tree,Qwen 8B,s_2,200,500,1318,2.636,69374855,135183,69510038,138749.71,270.366,139020.076
MemOS-Tree,Qwen 8B,s_3,300,500,1135,2.27,56717459,125404,56842863,113434.918,250.808,113685.726
MemOS-Tree,Qwen 8B,s_4,400,500,1174,2.348,57311175,123917,57435092,114622.35,247.834,114870.184
MemOS-text,Qwen 235B,s_0,0,500,1682,3.364,12257239,51152,12308391,24514.478,102.304,24616.782
MemOS-text,Qwen 235B,s_1,100,500,2396,4.792,132957297,62362,133019659,265914.594,124.724,266039.318
MemOS-text,Qwen 235B,s_2,200,500,2449,4.898,145272053,64674,145336727,290544.106,129.348,290673.454
MemOS-text,Qwen 235B,s_3,300,500,2376,4.752,138957857,62399,139020256,277915.714,124.798,278040.512
MemOS-text,Qwen 235B,s_4,400,500,2467,4.934,157892628,65749,157958377,315785.256,131.498,315916.754
MemOS-text,Qwen 32B,s_0,0,500,1508,3.016,10840729,52151,10892880,21681.458,104.302,21785.76
MemOS-text,Qwen 32B,s_1,100,500,2083,4.166,119133990,98478,119232468,238267.98,196.956,238464.936
MemOS-text,Qwen 32B,s_2,200,500,2047,4.094,117750980,94359,117845339,235501.96,188.718,235690.678
MemOS-text,Qwen 32B,s_3,300,500,1984,3.968,117730778,98594,117829372,235461.556,197.188,235658.744
MemOS-text,Qwen 32B,s_4,400,500,2011,4.022,128822463,100779,128923242,257644.926,201.558,257846.484
MemOS-text,Qwen 8B,s_0,0,500,561,1.122,3566772,30842,3597614,7133.544,61.684,7195.228
MemOS-text,Qwen 8B,s_1,100,500,522,1.044,18879466,47145,18926611,37758.932,94.29,37853.222
MemOS-text,Qwen 8B,s_2,200,500,548,1.096,18507857,45668,18553525,37015.714,91.336,37107.05
MemOS-text,Qwen 8B,s_3,300,500,521,1.042,19358939,48585,19407524,38717.878,97.17,38815.048
MemOS-text,Qwen 8B,s_4,400,500,511,1.022,18686466,50064,18736530,37372.932,100.128,37473.06
