source_package,benchmark,memory_system,scope,model_label,budget_B,alpha,breakdown_s,breakdown_s_label,breakdown_pass_at_b,tested_s_labels
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,1,0.7,0,s0,0.5815602836879432,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,2,0.7,0,s0,0.6950354609929078,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,3,0.7,400,s400,0.6950354609929078,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,4,0.7,400,s400,0.6950354609929078,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 235B,5,0.7,400,s400,0.6950354609929078,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,1,0.7,0,s0,0.5070921985815603,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,2,0.7,0,s0,0.5851063829787234,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,3,0.7,0,s0,0.6702127659574468,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,4,0.7,0,s0,0.6843971631205674,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 32B,5,0.7,0,s0,0.6843971631205674,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,1,0.7,0,s0,0.04609929078014184,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,2,0.7,0,s0,0.07092198581560284,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,3,0.7,0,s0,0.25886524822695034,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,4,0.7,0,s0,0.37943262411347517,"s0,s100,s200,s300,s400"
licomemory_locomo_20260410_package,LoCoMo,LiCoMemory,main_complete,Qwen 8B,5,0.7,0,s0,0.4148936170212766,"s0,s100,s200,s300,s400"
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,1,0.7,,>s0,,s0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,2,0.7,,>s0,,s0
llama_licomemory_longmemeval_20260414_package,LongMemEval,LiCoMemory,supplementary_partial,Llama 405B,3,0.7,,>s0,,s0
