source_package,benchmark,memory_system,scope,model_label,s,packaged_success_rate,derived_raw_success_rate,success_rate_abs_diff,packaged_retrieval_calls_mean,derived_retrieval_calls_mean,retrieval_calls_mean_abs_diff,status
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,0,0.6305,0.6305,0.0,2.3765,2.3765,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,100,0.6365,0.6365,0.0,2.389,2.389,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,200,0.6305,0.6305,0.0,2.4165,2.4165,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,300,0.633,0.633,0.0,2.3715,2.3715,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 8B,400,0.631,0.631,0.0,2.4265,2.4265,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,0,0.8125,0.8125,0.0,1.5325,1.5325,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,100,0.8135,0.8135,0.0,1.542,1.542,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,200,0.8085,0.8085,0.0,1.5465,1.5465,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,300,0.8,0.8,0.0,1.5475,1.5475,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 32B,400,0.8155,0.8155,0.0,1.5315,1.5315,0.0,ok
qwen_licomemory_longmemeval_steps6patched_20260413_package,LongMemEval,LiCoMemory,main_complete,Qwen 235B,0,0.8205,0.8205,0.0,1.1285,1.1285,0.0,ok
