source_package,scope,parameter,category,non_null_rows,total_rows,coverage_rate
licomemory_locomo_20260410_package,main_complete,question_type,metadata,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,retrieved_sessions,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,react_steps,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,context_tokens,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,response_duration_ms,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,search_duration_ms,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,total_duration_ms,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,total_cost_usd,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,llm_judge,correctness,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,f1,correctness,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,context_ok,runtime,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,has_agent_output,trace,4230,4230,1.0
licomemory_locomo_20260410_package,main_complete,has_trace_json,trace,4230,4230,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,question_type,metadata,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,retrieved_sessions,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,react_steps,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,context_tokens,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,response_duration_ms,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,search_duration_ms,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,total_duration_ms,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,total_cost_usd,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,llm_judge,correctness,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,f1,correctness,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,context_ok,runtime,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,has_agent_output,trace,21097,21097,1.0
llama_licomemory_longmemeval_20260414_package,supplementary_partial,has_trace_json,trace,21097,21097,1.0
qwen_hipporag_locomo_20260403_package,main_complete,question_type,metadata,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,retrieved_sessions,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,react_steps,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,context_tokens,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,response_duration_ms,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,search_duration_ms,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,total_duration_ms,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,total_cost_usd,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,llm_judge,correctness,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,f1,correctness,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,context_ok,runtime,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,has_agent_output,trace,4230,4230,1.0
qwen_hipporag_locomo_20260403_package,main_complete,has_trace_json,trace,4230,4230,1.0
