source_package,benchmark,memory_system,scope,model_label,budget_B,alpha,run_status,coverage_ratio,pass_at_b_s0,pass_at_b_s0_ci_low,pass_at_b_s0_ci_high,pass_at_b_smax,pass_at_b_smax_ci_low,pass_at_b_smax_ci_high,raw_success_s0,raw_success_smax,cost_smax_med,cost_smax_p90,p_exhaustion_smax,p_wrong_within_budget_smax,breakdown_s,breakdown_s_label,s0_label,smax_label
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,1,0.7,complete,1.0,0.848,0.8325,0.8630125,0.6875,0.667,0.707,0.848,0.6875,1.0,1.0,0.0,0.3125,400,s400,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,2,0.7,complete,1.0,0.848,0.832,0.863,0.6875,0.6675,0.708,0.848,0.6875,1.0,1.0,0.0,0.3125,400,s400,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,3,0.7,complete,1.0,0.848,0.832,0.8625,0.6875,0.6684875,0.7085,0.848,0.6875,1.0,1.0,0.0,0.3125,400,s400,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,4,0.7,complete,1.0,0.848,0.8339875,0.863,0.6875,0.6685,0.7075125,0.848,0.6875,1.0,1.0,0.0,0.3125,400,s400,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 235B,5,0.7,complete,1.0,0.848,0.8315,0.8630125,0.6875,0.6664749999999999,0.7090124999999999,0.848,0.6875,1.0,1.0,0.0,0.3125,400,s400,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,1,0.7,complete,1.0,0.826,0.8104875,0.842,0.6355,0.6149875,0.6560125,0.826,0.6355,1.0,1.0,0.0,0.3645,100,s100,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,2,0.7,complete,1.0,0.826,0.8094875,0.842,0.6355,0.6154875000000001,0.656,0.826,0.6355,1.0,1.0,0.0,0.3645,100,s100,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,3,0.7,complete,1.0,0.826,0.81,0.8415,0.6355,0.6125,0.6565,0.826,0.6355,1.0,1.0,0.0,0.3645,100,s100,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,4,0.7,complete,1.0,0.826,0.8075,0.843,0.6355,0.6135,0.6580125,0.826,0.6355,1.0,1.0,0.0,0.3645,100,s100,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 32B,5,0.7,complete,1.0,0.826,0.81,0.842,0.6355,0.6149875,0.657,0.826,0.6355,1.0,1.0,0.0,0.3645,100,s100,s0,s400
qwen_hipporag_longmemeval_20260403_package,LongMemEval,HippoRAG,main_complete,Qwen 8B,1,0.7,complete,1.0,0.7825,0.7645,0.8000125,0.5815,0.5585,0.6030125,0.7825,0.5815,1.0,1.0,0.0,0.4185,100,s100,s0,s400
