s,model_label,qwen_model_id,items,success_sum,success_rate,qwen_chat_prompt_tokens,qwen_chat_completion_tokens,qwen_chat_calls,qwen_chat_cost_cny,q0_embedding_prompt_tokens_est,q0_embedding_chunks_est,q0_embedding_cost_usd_est,q1_query_embedding_prompt_tokens_est,q1_query_embedding_calls_est,q1_query_embedding_cost_usd_est,judge_prompt_tokens,judge_completion_tokens,judge_calls,judge_cost_usd,total_cost_cny_report,total_cost_usd_report,retrieval_calls_sum,retrieval_calls_mean,react_steps_mean,context_tokens_mean
0,qwen235b,qwen3-235b-a22b-instruct-2507,200,122,0.61,1075312,34871,543,2.4295920000000004,1835522,4811,0.03671043999999998,1277,191,2.553999999999996e-05,286935,29032,600,0.06044799999999998,3.093825066504,0.4526577319751857,191,0.955,2.82,2159.135
0,qwen32b,qwen3-32b,200,127,0.635,653907,26190,428,1.5173340000000006,1835522,4811,0.03671043999999998,1124,158,2.2479999999999978e-05,280623,27394,600,0.05852699999999996,2.168416501215999,0.3172611490045063,158,0.79,2.14,1673.695
0,qwen8b,qwen3-8b,200,116,0.58,491355,25625,373,0.2969275,1835522,4811,0.03671043999999998,1207,170,2.4139999999999962e-05,288648,29603,600,0.06105299999999998,0.9652860517840007,0.14123106042371397,170,0.85,1.865,1621.32
100,qwen235b,qwen3-235b-a22b-instruct-2507,200,111,0.555,946768,34320,523,2.168096,126767627,333332,2.53535254,1211,179,2.421999999999995e-05,287481,29551,600,0.06085100000000002,19.912793494047996,2.913442016452274,179,0.895,2.715,1981.72
100,qwen32b,qwen3-32b,200,130,0.65,691351,28033,430,1.6069660000000006,126767627,333332,2.53535254,1111,160,2.221999999999996e-05,285213,29021,600,0.060198999999999996,19.34719353484801,2.830689052327502,160,0.8,2.15,1733.085
100,qwen8b,qwen3-8b,200,110,0.55,511244,26005,371,0.30763200000000024,126767627,333332,2.53535254,1124,166,2.2479999999999958e-05,290013,28773,600,0.06075499999999999,18.051661460696003,2.6411396764639776,166,0.83,1.855,1695.47
200,qwen235b,qwen3-235b-a22b-instruct-2507,200,104,0.52,1145207,34411,543,2.5657020000000004,252107280,663571,5.042145600000004,1311,193,2.6219999999999962e-05,286998,28655,600,0.060230999999999986,37.439604794136,5.477790834279864,193,0.965,2.805,2247.43
200,qwen32b,qwen3-32b,200,116,0.58,732919,28286,442,1.6921260000000016,252107280,663571,5.042145600000004,1107,164,2.213999999999998e-05,286302,27863,600,0.05966399999999998,36.56212557655199,5.349406797060924,164,0.82,2.21,1887.455
200,qwen8b,qwen3-8b,200,95,0.475,500840,26716,372,0.303852,252107280,663571,5.042145600000004,1133,169,2.265999999999998e-05,292953,28009,600,0.06074800000000001,35.18126405384801,5.147372864436123,169,0.845,1.86,1672.965
300,qwen235b,qwen3-235b-a22b-instruct-2507,200,108,0.54,1061021,33276,526,2.388250000000001,375938837,989472,7.518776740000002,1309,187,2.617999999999995e-05,284736,29118,600,0.06017300000000001,54.18903461801604,7.928400921463101,187,0.935,2.735,2141.4
300,qwen32b,qwen3-32b,200,116,0.58,726836,27684,435,1.6751440000000006,375938837,989472,7.518776740000002,1206,156,2.4119999999999952e-05,283911,27303,600,0.058967000000000006,53.467671769528025,7.822858279617254,156,0.78,2.175,1884.875
300,qwen8b,qwen3-8b,200,97,0.485,492100,27322,366,0.3006940000000002,375938837,989472,7.518776740000002,1211,165,2.4219999999999958e-05,294174,30694,600,0.06253999999999994,52.11764319340801,7.625335517265759,165,0.825,1.83,1667.335
400,qwen235b,qwen3-235b-a22b-instruct-2507,200,119,0.595,1072946,36998,553,2.4418759999999993,500846046,1318421,10.01692092,1237,189,2.473999999999996e-05,292800,32922,600,0.06367099999999998,71.34087474776797,10.437887684755665,189,0.945,2.815,2153.37
400,qwen32b,qwen3-32b,200,116,0.58,689259,27012,426,1.594614000000001,500846046,1318421,10.01692092,1090,158,2.179999999999996e-05,283665,30320,600,0.06074199999999996,70.473573524256,10.310992790462928,158,0.79,2.13,1796.265
400,qwen8b,qwen3-8b,200,91,0.455,500524,28103,370,0.3064680000000001,500846046,1318421,10.01692092,1035,167,2.0699999999999964e-05,297015,28783,600,0.06181999999999999,69.19278792037596,10.123600971553818,167,0.835,1.85,1683.075
