model_label,run_name,family,question_type_short,rows,success_rate,llm_judge_rate,f1_mean,retrieval_calls_mean,retrieved_sessions_mean,react_steps_mean,context_tokens_mean,total_cost_usd_mean,response_duration_ms_mean,search_duration_ms_mean,total_duration_ms_mean,total_cost_usd_sum
Qwen 8B,qwen8b,longmem_ssa,SSA,250,0.76,0.76,0.184441436,0.976,0.0,1.98,1970.656,0.000326204,8462.812924,9898.003032,18360.815956,0.081551
Qwen 8B,qwen8b,longmem_ssp,SSP,250,0.392,0.392,0.164764828,0.372,0.0,1.372,963.312,0.000373664,7551.859728,3272.668688,10824.528416,0.093416
Qwen 8B,qwen8b,longmem_ssu,SSU,250,0.684,0.684,0.107471352,1.0,0.0,2.0,1825.052,0.00026732,6954.421332,8687.035032,15641.456364,0.06683
Qwen 8B,qwen8b,longmem_tr,TR,250,0.2,0.2,0.102184104,1.0,0.0,2.056,1913.112,0.000260476,7180.472472,8894.827528,16075.3,0.065119
Qwen 32B,qwen32b,longmem_ssa,SSA,250,0.82,0.82,0.194115812,1.0,0.0,2.488,1804.904,0.000324636,10783.21056,8650.48108,19433.69164,0.081159
Qwen 32B,qwen32b,longmem_ssp,SSP,250,0.456,0.456,0.155977404,0.188,0.0,1.192,490.752,0.000351352,7993.004628,1490.410668,9483.415296,0.087838
Qwen 32B,qwen32b,longmem_ssu,SSU,250,0.648,0.648,0.108761336,0.944,0.0,2.264,1965.88,0.00024256,9098.813828,7653.954628,16752.768456,0.06064
Qwen 32B,qwen32b,longmem_tr,TR,250,0.496,0.496,0.131827508,1.052,0.0,2.7,2918.764,0.000273848,23827.286936,8528.358536,32355.645472,0.068462
Qwen 235B,qwen235b,longmem_ssa,SSA,250,0.832,0.832,0.197392172,1.004,0.0,2.848,2053.516,0.000336924,10512.587636,8582.074348,19094.661984,0.084231
Qwen 235B,qwen235b,longmem_ssp,SSP,250,0.284,0.284,0.161340508,0.208,0.0,1.436,818.492,0.000327128,11713.866888,1724.832036,13438.698924,0.081782
Qwen 235B,qwen235b,longmem_ssu,SSU,250,0.6,0.6,0.10479686,0.96,0.0,2.848,2087.896,0.000253092,10946.646336,7858.86828,18805.514616,0.063273
Qwen 235B,qwen235b,longmem_tr,TR,250,0.54,0.54,0.110842748,1.584,0.0,3.98,3586.54,0.000304352,14488.992772,13882.775628,28371.7684,0.076088
