model_label,run_name,rows,success_rate,llm_judge_rate,f1_mean,retrieval_calls_mean,retrieved_sessions_mean,react_steps_mean,context_tokens_mean,total_cost_usd_sum,total_cost_usd_mean,response_duration_ms_mean,search_duration_ms_mean,total_duration_ms_mean,s,family,question_type_short
Qwen 8B,qwen8b,50,0.72,0.72,0.15999456,1.0,0.0,2.0,1804.36,0.016868,0.00033736,7270.50354,15936.03692,23206.54046,0,longmem_ssa,SSA
Qwen 8B,qwen8b,50,0.56,0.56,0.16881612,0.4,0.0,1.4,999.88,0.018527,0.00037054,7235.1577,3657.6044,10892.7621,0,longmem_ssp,SSP
Qwen 8B,qwen8b,50,0.84,0.84,0.1342603,1.0,0.0,2.0,1777.0,0.01321,0.0002642,6371.26374,10437.49522,16808.75896,0,longmem_ssu,SSU
Qwen 8B,qwen8b,50,0.2,0.2,0.11312228,1.0,0.0,2.06,1904.04,0.012448,0.00024896,7230.97506,8737.8881,15968.86316,0,longmem_tr,TR
Qwen 8B,qwen8b,50,0.9,0.9,0.17011498,1.0,0.0,2.02,2183.1,0.01629,0.0003258,7554.51066,8378.09842,15932.60908,100,longmem_ssa,SSA
Qwen 8B,qwen8b,50,0.38,0.38,0.17220152,0.32,0.0,1.32,856.12,0.018881,0.00037762,7280.84384,2490.33574,9771.17958,100,longmem_ssp,SSP
Qwen 8B,qwen8b,50,0.72,0.72,0.11676398,1.0,0.0,2.0,1828.84,0.012597,0.00025194,7330.77254,6961.7103,14292.48284,100,longmem_ssu,SSU
Qwen 8B,qwen8b,50,0.2,0.2,0.10746456,1.0,0.0,2.08,1913.82,0.012987,0.00025974,7705.6818,8248.55864,15954.24044,100,longmem_tr,TR
Qwen 8B,qwen8b,50,0.72,0.72,0.21751514,0.98,0.0,1.98,1938.24,0.01616,0.0003232,14067.66002,7916.0325,21983.69252,200,longmem_ssa,SSA
Qwen 8B,qwen8b,50,0.36,0.36,0.16701236,0.4,0.0,1.4,1007.68,0.018166,0.00036332,8767.28272,3250.64574,12017.92846,200,longmem_ssp,SSP
Qwen 8B,qwen8b,50,0.64,0.64,0.11789632,1.0,0.0,2.0,1831.02,0.013375,0.0002675,7314.21212,7643.73076,14957.94288,200,longmem_ssu,SSU
Qwen 8B,qwen8b,50,0.18,0.18,0.09324146,1.0,0.0,2.06,1914.92,0.013047,0.00026094,6593.1586,8093.99148,14687.15008,200,longmem_tr,TR
Qwen 8B,qwen8b,50,0.72,0.72,0.17527598,0.98,0.0,1.98,2042.02,0.016253,0.00032506,6468.12704,8154.64416,14622.7712,300,longmem_ssa,SSA
Qwen 8B,qwen8b,50,0.36,0.36,0.15953184,0.32,0.0,1.32,885.58,0.019298,0.00038596,6851.99386,2788.7802,9640.77406,300,longmem_ssp,SSP
Qwen 8B,qwen8b,50,0.64,0.64,0.09477814,1.0,0.0,2.0,1836.24,0.01361,0.0002722,7314.40694,8864.42016,16178.8271,300,longmem_ssu,SSU
Qwen 8B,qwen8b,50,0.22,0.22,0.09706862,1.0,0.0,2.02,1905.5,0.013379,0.00026758,7122.75972,8863.1907,15985.95042,300,longmem_tr,TR
Qwen 8B,qwen8b,50,0.74,0.74,0.19930652,0.92,0.0,1.92,1885.56,0.01598,0.0003196,6953.26336,9105.20316,16058.46652,400,longmem_ssa,SSA
Qwen 8B,qwen8b,50,0.3,0.3,0.1562623,0.42,0.0,1.42,1067.3,0.018544,0.00037088,7624.02052,4175.97736,11799.99788,400,longmem_ssp,SSP
Qwen 8B,qwen8b,50,0.58,0.58,0.07365802,1.0,0.0,2.0,1852.16,0.014038,0.00028076,6441.45132,9527.81872,15969.27004,400,longmem_ssu,SSU
Qwen 8B,qwen8b,50,0.2,0.2,0.1000236,1.0,0.0,2.06,1927.28,0.013258,0.00026516,7249.78718,10530.50872,17780.2959,400,longmem_tr,TR
Qwen 32B,qwen32b,50,0.8,0.8,0.18048366,1.0,0.0,2.46,1640.76,0.01562,0.0003124,10121.28912,9031.64542,19152.93454,0,longmem_ssa,SSA
