model_label,run_name,s,rows,success_rate,llm_judge_rate,f1_mean,retrieval_calls_mean,retrieved_sessions_mean,react_steps_mean,context_tokens_mean,total_cost_usd_mean,response_duration_ms_mean,search_duration_ms_mean,total_duration_ms_mean,total_cost_usd_sum
Qwen 8B,qwen8b,0,200,0.58,0.58,0.144048315,0.85,0.0,1.865,1621.32,0.000305265,7026.97501,9692.25616,16719.23117,0.061053
Qwen 8B,qwen8b,100,200,0.55,0.55,0.14163626,0.83,0.0,1.855,1695.47,0.000303775,7467.95221,6519.675775,13987.627985,0.060755
Qwen 8B,qwen8b,200,200,0.475,0.475,0.14891632,0.845,0.0,1.86,1672.965,0.00030374,9185.578365,6726.10012,15911.678485,0.060748
Qwen 8B,qwen8b,300,200,0.485,0.485,0.131663645,0.825,0.0,1.83,1667.335,0.0003127,6939.32189,7167.758805,14107.080695,0.06254
Qwen 8B,qwen8b,400,200,0.455,0.455,0.13231261,0.835,0.0,1.85,1683.075,0.0003091,7067.130595,8334.87699,15402.007585,0.06182
Qwen 32B,qwen32b,0,200,0.635,0.635,0.155639735,0.79,0.0,2.14,1673.695,0.000292635,9027.553905,5549.06413,14576.618035,0.058527
Qwen 32B,qwen32b,100,200,0.65,0.65,0.15074164,0.8,0.0,2.15,1733.085,0.000300995,10056.403715,5626.831925,15683.23564,0.060199
Qwen 32B,qwen32b,200,200,0.58,0.58,0.14995093,0.82,0.0,2.21,1887.455,0.00029832,9970.267725,6609.476225,16579.74395,0.059664
Qwen 32B,qwen32b,300,200,0.58,0.58,0.14569589,0.78,0.0,2.175,1884.875,0.000294835,9942.6677,7054.338755,16997.006455,0.058967
Qwen 32B,qwen32b,400,200,0.58,0.58,0.13632438,0.79,0.0,2.13,1796.265,0.00030371,25631.001895,8064.295105,33695.297,0.060742
Qwen 235B,qwen235b,0,200,0.61,0.61,0.143856915,0.955,0.0,2.82,2159.135,0.00030224,11635.56121,6464.004025,18099.565235,0.060448
Qwen 235B,qwen235b,100,200,0.555,0.555,0.13924838,0.895,0.0,2.715,1981.72,0.000304255,10364.74931,6128.970895,16493.720205,0.060851
Qwen 235B,qwen235b,200,200,0.52,0.52,0.14820558,0.965,0.0,2.805,2247.43,0.000301155,10614.68633,7916.821575,18531.507905,0.060231
Qwen 235B,qwen235b,300,200,0.54,0.54,0.144255865,0.935,0.0,2.735,2141.4,0.000300865,11131.38111,9449.14912,20580.53023,0.060173
Qwen 235B,qwen235b,400,200,0.595,0.595,0.14239862,0.945,0.0,2.815,2153.37,0.000318355,15831.23908,10101.74225,25932.98133,0.063671
