record_set,benchmark,memory_system,scope,model_label,scale,budget,n,unbudgeted_success_count,pass_count,wrong_within_budget_count,budget_exhausted_count,unbudgeted_success,pass_at_b,p_wrong,p_exh,mean_calls,median_calls,p90_calls
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,0,1,500,260,99,123,278,0.52,0.198,0.246,0.556,3.178,2.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,0,2,500,260,116,154,230,0.52,0.232,0.308,0.46,3.178,2.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,0,3,500,260,135,161,204,0.52,0.27,0.322,0.408,3.178,2.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,0,4,500,260,144,165,191,0.52,0.288,0.33,0.382,3.178,2.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,0,5,500,260,147,167,186,0.52,0.294,0.334,0.372,3.178,2.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,0,6,500,260,260,240,0,0.52,0.52,0.48,0.0,3.178,2.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,100,1,500,291,109,15,376,0.582,0.218,0.03,0.752,4.55,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,100,2,500,291,117,18,365,0.582,0.234,0.036,0.73,4.55,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,100,3,500,291,129,20,351,0.582,0.258,0.04,0.702,4.55,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,100,4,500,291,131,24,345,0.582,0.262,0.048,0.69,4.55,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,100,5,500,291,136,26,338,0.582,0.272,0.052,0.676,4.55,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,100,6,500,291,291,209,0,0.582,0.582,0.418,0.0,4.55,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,200,1,500,266,98,10,392,0.532,0.196,0.02,0.784,4.75,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,200,2,500,266,105,13,382,0.532,0.21,0.026,0.764,4.75,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,200,3,500,266,109,16,375,0.532,0.218,0.032,0.75,4.75,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,200,4,500,266,115,18,367,0.532,0.23,0.036,0.734,4.75,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,200,5,500,266,119,22,359,0.532,0.238,0.044,0.718,4.75,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,200,6,500,266,266,234,0,0.532,0.532,0.468,0.0,4.75,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,300,1,500,239,98,13,389,0.478,0.196,0.026,0.778,4.73,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,300,2,500,239,103,17,380,0.478,0.206,0.034,0.76,4.73,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,300,3,500,239,107,23,370,0.478,0.214,0.046,0.74,4.73,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,300,4,500,239,108,24,368,0.478,0.216,0.048,0.736,4.73,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,300,5,500,239,112,30,358,0.478,0.224,0.06,0.716,4.73,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,300,6,500,239,239,261,0,0.478,0.478,0.522,0.0,4.73,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,400,1,500,209,71,16,413,0.418,0.142,0.032,0.826,4.888,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,400,2,500,209,84,20,396,0.418,0.168,0.04,0.792,4.888,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,400,3,500,209,90,24,386,0.418,0.18,0.048,0.772,4.888,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,400,4,500,209,95,27,378,0.418,0.19,0.054,0.756,4.888,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,400,5,500,209,100,29,371,0.418,0.2,0.058,0.742,4.888,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 235B,400,6,500,209,209,291,0,0.418,0.418,0.582,0.0,4.888,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,0,1,500,290,184,77,239,0.58,0.368,0.154,0.478,3.28,1.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,0,2,500,290,188,82,230,0.58,0.376,0.164,0.46,3.28,1.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,0,3,500,290,191,83,226,0.58,0.382,0.166,0.452,3.28,1.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,0,4,500,290,191,85,224,0.58,0.382,0.17,0.448,3.28,1.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,0,5,500,290,193,86,221,0.58,0.386,0.172,0.442,3.28,1.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,0,6,500,290,290,210,0,0.58,0.58,0.42,0.0,3.28,1.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,1,500,110,23,32,445,0.22,0.046,0.064,0.89,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,2,500,110,28,48,424,0.22,0.056,0.096,0.848,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,3,500,110,30,55,415,0.22,0.06,0.11,0.83,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,4,500,110,31,57,412,0.22,0.062,0.114,0.824,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,5,500,110,31,59,410,0.22,0.062,0.118,0.82,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,100,6,500,110,110,390,0,0.22,0.22,0.78,0.0,5.212,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,1,500,113,17,33,450,0.226,0.034,0.066,0.9,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,2,500,113,24,44,432,0.226,0.048,0.088,0.864,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,3,500,113,26,49,425,0.226,0.052,0.098,0.85,5.28,6.0,6.0
additional_interfaces,LongMemEval,Mem0,additional_interface_coverage,Qwen 32B,200,4,500,113,28,53,419,0.226,0.056,0.106,0.838,5.28,6.0,6.0
